path,label,split,flag_type,priority
../foodsg-233\fried prawn\YP7VELY1NL1C9GW3DL7YWISA.jpg,fried prawn,all,cross_class_duplicate,HIGH
"../foodsg-233\Mee siam, fried\2YHRX7HX3DJT5KR90F8KPGLN.jpg","Mee siam, fried",all,cross_class_duplicate,HIGH
../foodsg-233\drunken prawn\RRUZLAKZHWJRNI9U4HTJPRKJ.jpg,drunken prawn,all,cross_class_duplicate,HIGH
../foodsg-233\fried prawn\XAYA1T2YDMRESWV6OY61Q200.jpg,fried prawn,all,cross_class_duplicate,HIGH
../foodsg-233\Laksa\W2OGIHH7P7N51390W4CIJU99.jpg,Laksa,all,cross_class_duplicate,HIGH
../foodsg-233\chicken soup\UBJAPZYFJPMUQHVVRLOX4FHT.jpg,chicken soup,all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\PLN79BA678ZEH6JJ64MYJ6J0.jpg,bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\Seafood Noodles Soup\IFZLFZS9V2EX4D3JQBXP8G8D.jpg,Seafood Noodles Soup,all,cross_class_duplicate,HIGH
../foodsg-233\chai tow kuay\2ZGCLZF1J0022GZ5GUKRBJRC.jpg,chai tow kuay,all,cross_class_duplicate,HIGH
../foodsg-233\Kway Teow\QZQISL5E9QX2OPK6JO8BCWIN.jpg,Kway Teow,all,cross_class_duplicate,HIGH
../foodsg-233\cake\KW8LZ3A7XEPLCXGF16IEPMZ5.jpg,cake,all,cross_class_duplicate,HIGH
../foodsg-233\Chocolate\1GY72ZS58AB3HLIC2QIOQ23J.jpg,Chocolate,all,cross_class_duplicate,HIGH
../foodsg-233\whole grain bread\AA0VZQX4740XUYI2444DISC1.jpg,whole grain bread,all,cross_class_duplicate,HIGH
../foodsg-233\whole wheat\WNID6VKSLPPRXYXARYVZHYQ5.jpg,whole wheat,all,cross_class_duplicate,HIGH
../foodsg-233\Mee rebus\ZOBM23RNFBH04DMFIWD0MEZW.jpg,Mee rebus,all,cross_class_duplicate,HIGH
../foodsg-233\Mee bandung\5UBHFZ2LPIE56MGZYZZQUVVE.jpg,Mee bandung,all,cross_class_duplicate,HIGH
../foodsg-233\pasta - red sauce\X5JETW4FLNXYT5FCD9SAFMOV.jpg,pasta - red sauce,all,cross_class_duplicate,HIGH
../foodsg-233\pasta - fettuccine\OZWIUI232E0NWJD270HRU6QR.jpg,pasta - fettuccine,all,cross_class_duplicate,HIGH
../foodsg-233\Mee soto\6LMQB0GVFGPG9GFQFS8IQI9V.jpg,Mee soto,all,cross_class_duplicate,HIGH
../foodsg-233\Soto ayam\APKTJEB20TV82Y8UIW0FS8ZI.jpg,Soto ayam,all,cross_class_duplicate,HIGH
../foodsg-233\mee pok\18JDQ0YE2TN85WIO9YD2QCMS.jpg,mee pok,all,cross_class_duplicate,HIGH
../foodsg-233\bak chor mee\DPHFS6KHKF53KLJRPW1DXE35.jpg,bak chor mee,all,cross_class_duplicate,HIGH
../foodsg-233\Nuts\2UQQIXPRU0ATN1DGJYVK0XEN.jpg,Nuts,all,cross_class_duplicate,HIGH
../foodsg-233\Chocolate\R14ZMFOBMR5Z6A2LY1PDNOME.jpg,Chocolate,all,cross_class_duplicate,HIGH
../foodsg-233\char siew pau\HJFKBSLQGQUCSNH5AS0HPPW8.jpg,char siew pau,all,cross_class_duplicate,HIGH
../foodsg-233\steamed buns\7GKCAOQ5I495YQ9TMJAZJGHX.jpg,steamed buns,all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\LYQ4DR18FF2NWF5EBFRSXDX3.jpg,bee hoon,all,cross_class_duplicate,HIGH
"../foodsg-233\Bee hoon, goreng\O11RT1OERCXSTD52KZH5WDQY.jpg","Bee hoon, goreng",all,cross_class_duplicate,HIGH
../foodsg-233\Lontong with sayur lodeh\YCZMQWGGOU89RPPHY7ZC2M6G.jpg,Lontong with sayur lodeh,all,cross_class_duplicate,HIGH
../foodsg-233\lontong\KBYKPV58TP4F3ECE751G2XKS.jpg,lontong,all,cross_class_duplicate,HIGH
../foodsg-233\char siew pau\N9XF088ALQK35RVG0AD0T7LE.jpg,char siew pau,all,cross_class_duplicate,HIGH
../foodsg-233\steamed buns\A77FC5QDU0CUD2OGHWYG5PRT.jpg,steamed buns,all,cross_class_duplicate,HIGH
../foodsg-233\steamed buns\VBBCJ8NOBRYD2C8I3SEALXAM.jpg,steamed buns,all,cross_class_duplicate,HIGH
../foodsg-233\char siew pau\ABXBHSXKMXK0NTZE3EFNXU5Y.jpg,char siew pau,all,cross_class_duplicate,HIGH
../foodsg-233\Mee bandung\2V1A95DCNXNXJH5VQ4HNZEOQ.jpg,Mee bandung,all,cross_class_duplicate,HIGH
../foodsg-233\Mee rebus\ZLW2D4HGG2QVRFS631ILUV10.jpg,Mee rebus,all,cross_class_duplicate,HIGH
../foodsg-233\assam pedas\JIXOPFEJBUM50EKGPOQ5K3LW.jpg,assam pedas,all,cross_class_duplicate,HIGH
../foodsg-233\fish head curry\1EHOQBDAAFJCQYA5DZYTNB5K.jpg,fish head curry,all,cross_class_duplicate,HIGH
../foodsg-233\Mee kuah\85IDT0E5BO54FXVCX94VO4NI.jpg,Mee kuah,all,cross_class_duplicate,HIGH
../foodsg-233\Mee bandung\SABBKU3SXK6PXLTD8HCBCGGI.jpg,Mee bandung,all,cross_class_duplicate,HIGH
../foodsg-233\mushroom soup\XNUU35JW7V29O8SXAUETF6J4.jpg,mushroom soup,all,cross_class_duplicate,HIGH
../foodsg-233\cream soup\NUEGIB355VI736DVW15J07YH.jpg,cream soup,all,cross_class_duplicate,HIGH
../foodsg-233\bee hoon\MUNGHBSUUI5HV3ADHA614N3U.jpg,bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\satay bee hoon\63VA3DCIK0HY5L1LWFNCCKPX.jpg,satay bee hoon,all,cross_class_duplicate,HIGH
../foodsg-233\chai tow kuay\YZWPA7OOMAM8FW935RSESRXH.jpg,chai tow kuay,all,cross_class_duplicate,HIGH
../foodsg-233\fried rice\9733KTIR7TP9WZPU0A4WXPIC.jpg,fried rice,all,cross_class_duplicate,HIGH
"../foodsg-233\Wanton mee, dry\XTHD5DJVRNLBP08A1ZXXYNCV.jpg","Wanton mee, dry",all,cross_class_duplicate,HIGH
../foodsg-233\Fish Ball Noodles\EF2UCPM0UZWMHVB32IYII9IE.jpg,Fish Ball Noodles,all,cross_class_duplicate,HIGH
../foodsg-233\whole grain bread\VMYSU9IJ90QL02SURH28ISLG.jpg,whole grain bread,all,cross_class_duplicate,HIGH
../foodsg-233\whole wheat\BGLYSLUL9Y9UKVMJXZ6O6ZKJ.jpg,whole wheat,all,cross_class_duplicate,HIGH
../foodsg-233\kueh lapis - rainbow\5FGICRVDDVXI1FMJUIKA5RAB.jpg,kueh lapis - rainbow,all,cross_class_duplicate,HIGH
../foodsg-233\Pung Kueh\50DNECE0DPJQYEP3UYAK9ALH.jpg,Pung Kueh,all,cross_class_duplicate,HIGH
