path,label,split,md5,phash
../foodsg-233\fried prawn\YP7VELY1NL1C9GW3DL7YWISA.jpg,fried prawn,all,0038131090b92a89ac784e1193989585,9d1cf63ce143c41d
"../foodsg-233\Mee siam, fried\2YHRX7HX3DJT5KR90F8KPGLN.jpg","Mee siam, fried",all,0038131090b92a89ac784e1193989585,9d1cf63ce143c41d
../foodsg-233\drunken prawn\RRUZLAKZHWJRNI9U4HTJPRKJ.jpg,drunken prawn,all,00a83cef02fddcd966584ebf4ac30034,ffb618d9478748a0
../foodsg-233\fried prawn\XAYA1T2YDMRESWV6OY61Q200.jpg,fried prawn,all,00a83cef02fddcd966584ebf4ac30034,ffb618d9478748a0
../foodsg-233\Laksa\W2OGIHH7P7N51390W4CIJU99.jpg,Laksa,all,00c5f1c1c67072ec9468769b0899498f,8f6d1e6278cac9c8
../foodsg-233\chicken soup\UBJAPZYFJPMUQHVVRLOX4FHT.jpg,chicken soup,all,00c5f1c1c67072ec9468769b0899498f,8f6d1e6278cac9c8
../foodsg-233\bee hoon\PLN79BA678ZEH6JJ64MYJ6J0.jpg,bee hoon,all,00c73e299ac03bb2ae16efb53d1b7f02,a19fce92d918c7b0
../foodsg-233\Seafood Noodles Soup\IFZLFZS9V2EX4D3JQBXP8G8D.jpg,Seafood Noodles Soup,all,00c73e299ac03bb2ae16efb53d1b7f02,a19fce92d918c7b0
../foodsg-233\chai tow kuay\2ZGCLZF1J0022GZ5GUKRBJRC.jpg,chai tow kuay,all,00dcdfa1815f1468a6a4226f9cb7aefa,fc91d01a8627d579
../foodsg-233\Kway Teow\QZQISL5E9QX2OPK6JO8BCWIN.jpg,Kway Teow,all,00dcdfa1815f1468a6a4226f9cb7aefa,fc91d01a8627d579
../foodsg-233\cake\KW8LZ3A7XEPLCXGF16IEPMZ5.jpg,cake,all,010e378e05fbf7eb206c020dc8544f74,ebe18017d8e8ce55
