path,label,split,md5,phash
../foodsg-233\chicken pie\3T2HBL9HT23M3R3OZ0TTJAAV.jpg,chicken pie,all,2b4de8a031c15d84457b10a22b47e7c2,80075f7865c36b8f
../foodsg-233\chicken pie\SM6V9Z1NHU2LGZ0TTKXMO28G.jpg,chicken pie,all,a5416fc0429b2b9008379f8c9e13237d,80075f7865c36b8f
../foodsg-233\Nuts\0WYS8RU4U07TOUZ79K33A8GO.jpg,Nuts,all,1395aa24100e39853f50a9cdfa2d8615,800f319c309c77ff
../foodsg-233\Nuts\66IEMV1ZEZKRZT7DRCN5FMVH.jpg,Nuts,all,8be3598f1f6445dccf169214fa7dce04,800f319c309c77ff
../foodsg-233\waffle\2EZ8TALEJTZABEZGMNZUEVQY.jpg,waffle,all,f7dc654968326777a289ebbfe725334b,801e577a1e3b1b78
../foodsg-233\waffle\QIYFU3XB89OX7RIET9H26WO9.jpg,waffle,all,1816c0a208e6ee1fe069ef7334bb71ff,801e577a1e3b1b78
"../foodsg-233\Rice, with dakgalbi\JTICS7W1ADOT8OP5DR9MJ9BZ.jpg","Rice, with dakgalbi",all,6a7db3d4fadaeaf32790f2c4c6d4f9b6,801e75b1a78c9edc
"../foodsg-233\Rice, with dakgalbi\JAHLSE3HCJPDPT1UHHRD1ZU9.jpg","Rice, with dakgalbi",all,df54a41fc837378cba44ae11ecf3578d,801e75b1a78c9edc
../foodsg-233\Mee siam\2O9XY0G38P7TAU2MIXTH4VV9.jpg,Mee siam,all,5246581f8f69a2c3c2a6360921886848,801f63386ecb2cdd
../foodsg-233\yuseng\QGZ0314MHISEI9L7L3HT3MUC.jpg,yuseng,all,ca215b51806af6de2e05aa77a751c918,803773d14b7c7e44
../foodsg-233\yuseng\249OZACTHBR5GMXHK5WNYXUN.jpg,yuseng,all,820e524c2a94c56b0f890855763f4b55,803773d14b7c7e44
../foodsg-233\chilli crab\VSM2H58SXYZGPMSG4WQ50Y5Y.jpg,chilli crab,all,29a8fc24acbda8907a16b6dacfb06125,803b1f627aa748bd
../foodsg-233\black pepper crab\MPYPW5MINWNPOIQSURCV5Y8V.jpg,black pepper crab,all,e0f4c23ac087f1f0967296967da4ba03,803b1f627aa748bd
../foodsg-233\Lor mee\A5JJKJ8V2R8DX30HIBEQ3O2R.jpg,Lor mee,all,37148d4fab00394e6a5185053313ac2c,803d19fa5fa05787
../foodsg-233\Prawn Noodle\0DI4JHKH2XUT7CM0HPAQ8HAQ.jpg,Prawn Noodle,all,b46401c6830048ed2096fbade7734f3a,803d19fa5fa05787
../foodsg-233\tau suan\PTXQROY33F8NIFRXA3KLY8G2.jpg,tau suan,all,9642ca98371d7c2b84049944aceb4fa1,803e2bf522c7af58
../foodsg-233\tau suan\QJNRMRDKACOYZUQRWNI6GSSD.jpg,tau suan,all,05b80cdccd1b3a97009eb10b89dc435e,803e2bf522c7af58
../foodsg-233\mushroom soup\RWA8D8W0VY7UIAPSXMJ0RU1H.jpg,mushroom soup,all,550d67c637d158240e74aceb8d2c971b,804b2d5e763972e6
../foodsg-233\mushroom soup\W1YQAL4L67Y4B2J52SHEHH5M.jpg,mushroom soup,all,b8725c8555a5bf56112587468c2784c8,804b2d5e763972e6
../foodsg-233\chicken soup\URIM8YMDJUCP7QKQSMSKVA66.jpg,chicken soup,all,1dff44dc486f8115b20a8e0b8dce72e3,80516b5b76793966
../foodsg-233\cream soup\7I1JTCG0Q3YU0AAWB1LX2T2L.jpg,cream soup,all,03246e04f37a138e67698f61fbe04acc,80516b5b76793966
../foodsg-233\Kueh Salat\TNF1JPFTM5I5AZQW0KL0DBQQ.jpg,Kueh Salat,all,69080abdf6fb2a7b1af445cfc101e8cc,805577c22fc07f8b
../foodsg-233\Kueh Salat\1147H5TZV8B2JGCOV5HUAD8V.jpg,Kueh Salat,all,0f41c2643320ecb6ab9bf3f41ccb967d,805577c22fc07f8b
../foodsg-233\tau suan\FOED0FRTY5BQ7T1SPKNM8X2N.jpg,tau suan,all,a77a9b6036ef8aef5c972b0692f74cac,8057730b3db694f8
../foodsg-233\tau suan\SJR1VK0M0XPEU0LE1N6UQM0R.jpg,tau suan,all,fdd76ea614688e2d3a7380609bd45c5c,8057730b3db694f8
"../foodsg-233\Bee hoon, soto\5XQE5SM8WCOZMUPKJTI7PDCF.jpg","Bee hoon, soto",all,8690017f159415166714403ae7a4c1c8,805d3de0b2977c1e
"../foodsg-233\Bee hoon, soto\4QYBPFDQS69I2SXC2TXCRC9H.jpg","Bee hoon, soto",all,28516050a8f0a18093e89a3bd31cff7d,805d3de0b2977c1e
"../foodsg-233\Bee hoon, soto\4JPYEI4LSV04UYSSB8J6DGXK.jpg","Bee hoon, soto",all,1d452b4b9548c412947ac93f5190208d,805d3de0b2977c1e
../foodsg-233\oyster omelette\S99V87XOVWYQS7HFPH4NS8I2.jpg,oyster omelette,all,3fe210393326cd891810eba8c22bd417,807a1ff03c433ec7
../foodsg-233\Chinese fritters\YARGJIEXNNVPAM880AOBJIWT.jpg,Chinese fritters,all,476fb90e28d99c2dae71393dc1fe1902,807d47d3326c7f60
../foodsg-233\tau suan\L4JIOVHE5R1XXZR9AVAWBB0G.jpg,tau suan,all,34d5d14b54b685329a5d1c7a1a8f92df,807d47d3326c7f60
"../foodsg-233\Mee siam, fried\K1VCW6JDNUSF19A3T6JONW6Y.jpg","Mee siam, fried",all,4a3f937e0414bf631bc75e04e61e8d45,80813f6f15bc5b8d
../foodsg-233\Mee siam\KNFB7B844OZEXN8GFM2QTQ15.jpg,Mee siam,all,ead46806d71265e58a6b60652673391d,80813f6f15bc5b8d
../foodsg-233\fried rice\SWI18XO8N1PN5S75HN63G4GW.jpg,fried rice,all,546a0e6a5999aa500fa3d9f8282cf9d5,80851edee865977c
"../foodsg-233\Rice, with dakgalbi\55P08TMYDXJXIL2M5QZM16RL.jpg","Rice, with dakgalbi",all,dc2c338c5db467eaa7f2654e7a0aabb1,80851edee865977c
../foodsg-233\bak chor mee\Q60WE1L2M09F0D7MAQUYBE4C.jpg,bak chor mee,all,fd1813031e0fa17efc9979aacaccb81c,80971bfc03a14fe7
../foodsg-233\bak chor mee\PFDT9DBGOIM6DT643WMPV6DD.jpg,bak chor mee,all,6bca0f52988b1e36d369aa48bb4074c9,80971bfc03a14fe7
../foodsg-233\nasi lemak\C0LEWFGVQDHF9468JKBTTXS1.jpg,nasi lemak,all,2c3690b36f45d12e5825917f7371f4e8,809c6839afeba0d7
../foodsg-233\Nasi Ambeng\ZTSMZ5533WQ27R8HYT4R717K.jpg,Nasi Ambeng,all,eb005c137fd61b52df7af2ae13feedba,809c6839afeba0d7
../foodsg-233\Mee goreng\81MQJP04A1O3PYVGW5926OG3.jpg,Mee goreng,all,a085d3c359244e88ff10617a1b583b5e,80a61db73eda3929
../foodsg-233\Mee goreng\4MQEPJP4IFPVHXOL7HV3WLT5.jpg,Mee goreng,all,2708bd0257a5b06dc86c2c23b2741a23,80a61db73eda3929
../foodsg-233\Laksa\GK6XQCQ7ZFX17N3TU7XRT8XV.jpg,Laksa,all,5d524af4c4e4588a93f7bb5020963603,80aa87291f64dee7
"../foodsg-233\Bee hoon, soto\TDVMY2WIE6AXMFLAT6BRU3N5.jpg","Bee hoon, soto",all,58a777ef84bf6e9b5bb18b17bf544c44,80aa87291f64dee7
../foodsg-233\Kway Teow\CAZ6UAW5G5D0MZPFCJHAEXW2.jpg,Kway Teow,all,456b28641f24df517b6aac9b017239a3,80b41f687caaf0be
../foodsg-233\Kway Teow\CIMKXMESJKQSZLIJEORRWLMT.jpg,Kway Teow,all,71650488c272b00eb8eb6c6b6151b560,80b41f687caaf0be
../foodsg-233\tau suan\JR5WWTMKAP4EUPL1EET8FD9E.jpg,tau suan,all,d7a256463479a8d858696acd7a4c942b,80be1fd076c768cc
../foodsg-233\tau suan\MPUD16E6O2A7LB3Z54UA9D5M.jpg,tau suan,all,ac830536a26925707770e687431d8a0b,80be1fd076c768cc
../foodsg-233\bak kut teh\9I607SW5ORRJG7ZSEHTTX9WR.jpg,bak kut teh,all,9b89ef208f1af89e295fd52cb22b9e45,80c017dbce2b7e95
../foodsg-233\bak kut teh\R1D9LSO19WIS2QUXQGHMZFYO.jpg,bak kut teh,all,84579e1a42c9963f0d1acae97e29c6cf,80c017dbce2b7e95
../foodsg-233\Dumpling noodle soup\IVIKL43K5O8GNP6VT67Q7M9S.jpg,Dumpling noodle soup,all,00d4fef39c88909a154ef476aa6450a3,80c04f0f3f3e9679
../foodsg-233\beef noodle soup\UJJC4T6CI9MRH0YOT3WXVCEP.jpg,beef noodle soup,all,958862eb9beddfc1a2aded6e655d5881,80c04f0f3f3e9679
../foodsg-233\miso soup\YJ1QPXR3FGPLX73SGKRY4FH6.jpg,miso soup,all,b4fe35239fbebaa2878fb2e1392c5b7f,80c617a65e9f791c
../foodsg-233\vegetable soup\G2BTYBRT08QSFHN5RV630477.jpg,vegetable soup,all,eb145f8446dbcca4d56abdf94ab3ba8b,80c617a65e9f791c
../foodsg-233\Chinese fritters\Z6DMI5N3I0Q6YMP2LJ24X2UK.jpg,Chinese fritters,all,7ad3c63616f362cb31c4d546ce93b202,80ca3f3f16137371
../foodsg-233\Chinese fritters\VG35P4HRU8F1BUD9VA08WTHE.jpg,Chinese fritters,all,f68957eb835210287e74ea3464e8205e,80ca3f3f16137371
../foodsg-233\sambal\JU6246T8ISMGAG0Z0JCWXNGE.jpg,sambal,all,035583bc8deb4f201816bc1267fd8cc3,80ce3eb89b9722c7
../foodsg-233\sambal\37FNZP0VR918C9PN31LQTJTH.jpg,sambal,all,0d62d4cf568970fc4a708fd1dfde1646,80ce3eb89b9722c7
../foodsg-233\bee hoon\XJX10DZQ1QY1HLKDZ9X7QJA8.jpg,bee hoon,all,4896bddb0a5869f36eb22b7953b0b9cf,80cf87b53cdf0299
"../foodsg-233\Bee hoon, soto\QDYFON3Z7BHZ9NAPQZRZX9FL.jpg","Bee hoon, soto",all,d0345421628c4df06be64816cba59a4a,80cf87b53cdf0299
"../foodsg-233\Bee hoon, soto\TB9075DHGQX29UCA1HBJHRVT.jpg","Bee hoon, soto",all,d86e50504815e09286d361cc295449b1,80d02ff925ddb496
../foodsg-233\Mee soto\H4Q0FRJ8X4ZG7HQFH7EJV6IH.jpg,Mee soto,all,12e715b983b94eb5dc9743503b71c9ca,80d02ff925ddb496
