path,label,split,md5,phash
"../foodsg-233_cleaned\Bee hoon, goreng\X5ZSG7LCTP7FZ2UYN6VDKM4U.jpg","Bee hoon, goreng",all,9512b94864458c03ca66c5416c2c20f6,801f63386ecb2cdd
../foodsg-233_cleaned\Mee siam\2O9XY0G38P7TAU2MIXTH4VV9.jpg,Mee siam,all,5246581f8f69a2c3c2a6360921886848,801f63386ecb2cdd
../foodsg-233_cleaned\oyster omelette\2TI69VIK2WQGIQM103UXKVI0.jpg,oyster omelette,all,bcf1c374230bc72604dfe94ab349384d,807a1ff03c433ec7
../foodsg-233_cleaned\oyster omelette\S99V87XOVWYQS7HFPH4NS8I2.jpg,oyster omelette,all,3fe210393326cd891810eba8c22bd417,807a1ff03c433ec7
../foodsg-233_cleaned\har cheong gai\GP5Y1R9H9YY3NPXBEH1VX6JU.jpg,har cheong gai,all,d26f05cea8bf62983955b12ed91fc59f,82cd5bd737c183b0
../foodsg-233_cleaned\fried chicken\GK56WL0QJ1M6ZK6QXVFTES1F.jpg,fried chicken,all,7d88f23b3d3fb54a1dad3996639ceae8,82cd5bd737c183b0
../foodsg-233_cleaned\Soto ayam\JXIKXSNH9URAG42M1T3NEUUL.jpg,Soto ayam,all,9e84d7ff97eff26c9ef8efce6a369dd0,87689f966c25742b
../foodsg-233_cleaned\Soto ayam\1LZJRQ8AJE2EEM069KKC2QSK.jpg,Soto ayam,all,e6a41b26bb0392a2d54e45b78fd24bcc,87689f966c25742b
"../foodsg-233_cleaned\Bee hoon, soto\72GDL0WLZSJW232V6NYW3AUE.jpg","Bee hoon, soto",all,7fb488fa767dd1930b20993f4711ec0a,899f971c182b6aae
../foodsg-233_cleaned\Soto ayam\3TTMTU9M8H473PQMCDIFFXE3.jpg,Soto ayam,all,4838916360324bb450f35b7e219b9d4a,899f971c182b6aae
../foodsg-233_cleaned\whole grain bread\8C6F2Q32YAX6WO55K20UKWBG.jpg,whole grain bread,all,91999868e7d4a4bad1ba49e6bb696465,8b83783ce1d0cfa3
../foodsg-233_cleaned\White Bread\HK67AWH3KJ9ONTR28VOSG1W0.jpg,White Bread,all,b4c0b1c47046efdde78099e45a1467bd,8b83783ce1d0cfa3
"../foodsg-233_cleaned\Bee hoon, soto\A5KZXEJ0TT3V2BEAR8FXVL9Q.jpg","Bee hoon, soto",all,307ed73bb48da7aa5e958b1a3c23f54b,8f2f2585479523d5
../foodsg-233_cleaned\bee hoon\ZT41U5AV4N7SNT7PQXA2JW9Z.jpg,bee hoon,all,65637912d7b537e03f7249dd9f7f40fd,8f2f2585479523d5
../foodsg-233_cleaned\Ban Mian\R4682H05EG1NEPWZJSYXCMX7.jpg,Ban Mian,all,d6dde8590d70d8b088128a43afea1894,8fd1f8634a8e91c5
../foodsg-233_cleaned\Seafood Noodles Soup\8S3CMHO0P112AYIQGRCZNYHA.jpg,Seafood Noodles Soup,all,82b69fb70188786a8b349ecf7c9f08a5,8fd1f8634a8e91c5
../foodsg-233_cleaned\whole grain bread\BZOHD4I6OXEMKH7T1FJKCNW1.jpg,whole grain bread,all,4435074c71e6267882c4b4d310661373,8fe368856f85427c
../foodsg-233_cleaned\White Bread\W8XDDO8DOW47UU1HQBGH6GWE.jpg,White Bread,all,4fc4b3c6619903f41921baad02350f3d,8fe368856f85427c
../foodsg-233_cleaned\lontong\WWCM6DYUD8FMMD7PET7VPZYB.jpg,lontong,all,741e1342bdf29613e8a6b731d0f9340a,907a4d2d47381ef5
../foodsg-233_cleaned\lontong\7K82LMQ3TSFUI9TPR3QJJFGN.jpg,lontong,all,c78b982667dd3aa07fe44cda69d808a1,907a4d2d47381ef5
../foodsg-233_cleaned\char siew pau\PSKTQK8XETWPM224A19I56JN.jpg,char siew pau,all,d1fa2c944428086f04bcb17f9a69eba1,90f12bedf00c4f96
../foodsg-233_cleaned\steamed buns\N4XTPEQOSIAV0W8QMBLWXYDD.jpg,steamed buns,all,f82e7d2b838068c3720c308d096f2a33,90f12bedf00c4f96
../foodsg-233_cleaned\Soto ayam\KIYB41RNRFHDN66W1OT7K7X7.jpg,Soto ayam,all,bb097f46ada1bf92eca56783fd09e9b2,91093c685fb263d7
../foodsg-233_cleaned\Mee soto\6JXCM74VTJE1ZBU5ESS47B37.jpg,Mee soto,all,2b54a7dcb46a64375d985ae18b3b2d28,91093c685fb263d7
../foodsg-233_cleaned\Fish Ball Noodles\OGN1I050Y0F92YBB7P37UJ1N.jpg,Fish Ball Noodles,all,fd985544c72d29f61ff1e96f37efb336,9177d51258cadec8
"../foodsg-233_cleaned\Bee hoon, soto\9XWCAP3JJCFSHOORLO4GDB9R.jpg","Bee hoon, soto",all,22dbcd833d0e5fb0bdee5f60894eee61,9177d51258cadec8
../foodsg-233_cleaned\vegetable soup\JPEMLXKYK44XGMFRDKY03AKN.jpg,vegetable soup,all,656ec763b16942ee48b9f68d6db029f7,92ccf6ac53969187
../foodsg-233_cleaned\vegetable soup\Y39V4M5EZ9LLZ1OJW0W40WZO.jpg,vegetable soup,all,76ef2b193a3f9ed5c1d1a2721d370f8e,92ccf6ac53969187
