path,label,split,hash,all_labels
../foodsg-233\fried prawn\YP7VELY1NL1C9GW3DL7YWISA.jpg,fried prawn,all,0038131090b92a89ac784e1193989585,"['fried prawn', 'Mee siam, fried']"
"../foodsg-233\Mee siam, fried\2YHRX7HX3DJT5KR90F8KPGLN.jpg","Mee siam, fried",all,0038131090b92a89ac784e1193989585,"['fried prawn', 'Mee siam, fried']"
../foodsg-233\drunken prawn\RRUZLAKZHWJRNI9U4HTJPRKJ.jpg,drunken prawn,all,00a83cef02fddcd966584ebf4ac30034,"['drunken prawn', 'fried prawn']"
../foodsg-233\fried prawn\XAYA1T2YDMRESWV6OY61Q200.jpg,fried prawn,all,00a83cef02fddcd966584ebf4ac30034,"['drunken prawn', 'fried prawn']"
../foodsg-233\Laksa\W2OGIHH7P7N51390W4CIJU99.jpg,Laksa,all,00c5f1c1c67072ec9468769b0899498f,"['Laksa', 'chicken soup']"
../foodsg-233\chicken soup\UBJAPZYFJPMUQHVVRLOX4FHT.jpg,chicken soup,all,00c5f1c1c67072ec9468769b0899498f,"['Laksa', 'chicken soup']"
../foodsg-233\bee hoon\PLN79BA678ZEH6JJ64MYJ6J0.jpg,bee hoon,all,00c73e299ac03bb2ae16efb53d1b7f02,"['bee hoon', 'Seafood Noodles Soup']"
../foodsg-233\Seafood Noodles Soup\IFZLFZS9V2EX4D3JQBXP8G8D.jpg,Seafood Noodles Soup,all,00c73e299ac03bb2ae16efb53d1b7f02,"['bee hoon', 'Seafood Noodles Soup']"
../foodsg-233\chai tow kuay\2ZGCLZF1J0022GZ5GUKRBJRC.jpg,chai tow kuay,all,00dcdfa1815f1468a6a4226f9cb7aefa,"['chai tow kuay', 'Kway Teow']"
../foodsg-233\Kway Teow\QZQISL5E9QX2OPK6JO8BCWIN.jpg,Kway Teow,all,00dcdfa1815f1468a6a4226f9cb7aefa,"['chai tow kuay', 'Kway Teow']"
../foodsg-233\cake\KW8LZ3A7XEPLCXGF16IEPMZ5.jpg,cake,all,010e378e05fbf7eb206c020dc8544f74,"['cake', 'Chocolate']"
../foodsg-233\Chocolate\1GY72ZS58AB3HLIC2QIOQ23J.jpg,Chocolate,all,010e378e05fbf7eb206c020dc8544f74,"['cake', 'Chocolate']"
../foodsg-233\whole grain bread\AA0VZQX4740XUYI2444DISC1.jpg,whole grain bread,all,011a49396539319cb4a40ddd28884959,"['whole grain bread', 'whole wheat']"
../foodsg-233\whole wheat\WNID6VKSLPPRXYXARYVZHYQ5.jpg,whole wheat,all,011a49396539319cb4a40ddd28884959,"['whole grain bread', 'whole wheat']"
../foodsg-233\Mee rebus\ZOBM23RNFBH04DMFIWD0MEZW.jpg,Mee rebus,all,0126d50bcb8162c8ee0d5416fa6efdb2,"['Mee rebus', 'Mee bandung']"
../foodsg-233\Mee bandung\5UBHFZ2LPIE56MGZYZZQUVVE.jpg,Mee bandung,all,0126d50bcb8162c8ee0d5416fa6efdb2,"['Mee rebus', 'Mee bandung']"
../foodsg-233\pasta - red sauce\X5JETW4FLNXYT5FCD9SAFMOV.jpg,pasta - red sauce,all,013376e614c201a90066628dfea9ec6b,"['pasta - red sauce', 'pasta - fettuccine']"
../foodsg-233\pasta - fettuccine\OZWIUI232E0NWJD270HRU6QR.jpg,pasta - fettuccine,all,013376e614c201a90066628dfea9ec6b,"['pasta - red sauce', 'pasta - fettuccine']"
../foodsg-233\Mee soto\6LMQB0GVFGPG9GFQFS8IQI9V.jpg,Mee soto,all,014826d131d3707116c08517893a76a9,"['Mee soto', 'Soto ayam']"
