path,label,split,pred_class,confidence,flag_reason
../foodsg-233\Alcoholic Beverage\3ZUUCZ3951YOR2HCRBC9HKUT.jpg,Alcoholic Beverage,all,orange,0.17161782,low_confidence
../foodsg-233\Alcoholic Beverage\CI8ATV4RAPVMMB2C3413SOH2.jpg,Alcoholic Beverage,all,orange,0.10836592,low_confidence
../foodsg-233\Alcoholic Beverage\E9DA7LUMKBN9942U3LEA8BA6.jpg,Alcoholic Beverage,all,tau suan,0.2607012,low_confidence
../foodsg-233\Alcoholic Beverage\GC61GKTSB0Y38HMB8F01WDNX.jpg,Alcoholic Beverage,all,orange,0.13248938,low_confidence
../foodsg-233\Alcoholic Beverage\MPGNU827ZQA8E0UP905CK2WO.jpg,Alcoholic Beverage,all,Sweets,0.1485088,low_confidence
../foodsg-233\Alcoholic Beverage\OKPM14HR8U8F8Y5XP6YFMR86.jpg,Alcoholic Beverage,all,Alcoholic Beverage,0.14709733,low_confidence
../foodsg-233\Alcoholic Beverage\UZR5Q9RZVKUMID4TDSQ50KI5.jpg,Alcoholic Beverage,all,orange,0.16596717,low_confidence
../foodsg-233\Alcoholic Beverage\XXOZXINPWZMFLC1853W7UIYT.jpg,Alcoholic Beverage,all,Snacks and Chips,0.24261416,low_confidence
../foodsg-233\Alcoholic Beverage\Z7Y6M701000FTGJPHNSH2XQS.jpg,Alcoholic Beverage,all,Chocolate,0.21164472,low_confidence
../foodsg-233\Apple\02SLZ6IU4LVISKYIQ2I1SMJN.jpg,Apple,all,breakfast cereal,0.26151857,low_confidence
../foodsg-233\Apple\1ZQFCT5Q9373GYO0LJ7LDQRO.jpg,Apple,all,Nuts,0.15767618,low_confidence
../foodsg-233\Apple\28JF8HACWQZ5LMO56K74UUL0.jpg,Apple,all,longan,0.18512514,low_confidence
../foodsg-233\Apple\2XHAJPNG1G6YC1DJ83KEKQX1.jpg,Apple,all,steamed buns,0.1922602,low_confidence
../foodsg-233\Apple\3FQPMLPEK0YUVRALHLJ6EAA3.jpg,Apple,all,Sweets,0.29035583,low_confidence
../foodsg-233\Apple\41OFM3RJYQS609UJUVPLHKDN.jpg,Apple,all,lychee,0.26178485,low_confidence
../foodsg-233\Apple\48JP2474SRI8FI5E3ZC854XN.jpg,Apple,all,Apple,0.26847145,low_confidence
../foodsg-233\Apple\4LWQ9FX12TGWSFLUHX8TT739.jpg,Apple,all,Apple,0.20437281,low_confidence
../foodsg-233\Apple\803UKY0YPID82Y4VRTJ0CDF6.jpg,Apple,all,kuih bahulu,0.19028439,low_confidence
../foodsg-233\Apple\9KM7SIDL9GJHM2YTC84V3VFW.jpg,Apple,all,mixed grills,0.1323285,low_confidence
../foodsg-233\Apple\A0Y80WPEI7N204V1DMU6FUN2.jpg,Apple,all,Indian Pancake,0.2915958,low_confidence
../foodsg-233\Apple\AW6CBIJVZFDKYVENUSHLQGKR.jpg,Apple,all,canned Fruit salad,0.17929333,low_confidence
../foodsg-233\Apple\B9L48B11HZULU4JSCSLB4TVE.jpg,Apple,all,pineapple,0.12637292,low_confidence
../foodsg-233\Apple\CA63GQWM0UXS1XC6O8UZQ8GL.jpg,Apple,all,biscuit,0.22927454,low_confidence
../foodsg-233\Apple\D6M3OMSSKBQTHMXNK3XU02Y9.jpg,Apple,all,strawberry,0.24830495,low_confidence
../foodsg-233\Apple\H9MMAKRRLBX7AO65WKJUUJ1Z.jpg,Apple,all,pancake,0.12584057,low_confidence
../foodsg-233\Apple\I0WTDUCEFEIG24VSHH6XG2QV.jpg,Apple,all,Chinese fritters,0.15768522,low_confidence
../foodsg-233\Apple\IGFYXNXRMTMTLSUPSB49MU6L.jpg,Apple,all,canned Fruit salad,0.17412958,low_confidence
../foodsg-233\Apple\JNKLTXQV4R95R1UDZY5FBS2P.jpg,Apple,all,mango pudding,0.21402796,low_confidence
../foodsg-233\Apple\JQ1V2RFKIAHFGZ26LFUSCRUL.jpg,Apple,all,pineapple tarts,0.16562785,low_confidence
../foodsg-233\Apple\KVPCP3NBS7C5O05NTDYTKU0Y.jpg,Apple,all,mixed vegetables,0.12938483,low_confidence
../foodsg-233\Apple\M6K1TA2ROZNJ7GHKKM4T9QNO.jpg,Apple,all,pancake,0.1795456,low_confidence
../foodsg-233\Apple\MDS2MA0OT9LVFEJNR190TQCZ.jpg,Apple,all,Apple,0.26095736,low_confidence
../foodsg-233\Apple\MIFGVK0ET0OJ84M0R6GCYTDT.jpg,Apple,all,sushi,0.20223993,low_confidence
../foodsg-233\Apple\MJDIIIUNY6WU2V5CRHGJYHBO.jpg,Apple,all,Apple,0.11783646,low_confidence
../foodsg-233\Apple\NIGSA78D97BNKKHAK4TQB088.jpg,Apple,all,Apple,0.2328971,low_confidence
../foodsg-233\Apple\OESD1E7BHIZSZ4JBNFTA3G36.jpg,Apple,all,Katsudon,0.15086988,low_confidence
../foodsg-233\Apple\OVU5NDBO38H2REXAQU90BDAF.jpg,Apple,all,dumpling,0.21178275,low_confidence
../foodsg-233\Apple\Q60PM0WHVZLH0ON0DI5FA0WF.jpg,Apple,all,Fruit juice,0.13647722,low_confidence
../foodsg-233\Apple\SWEPUO6M7M8TOPC1L52WHE35.jpg,Apple,all,Chocolate,0.24257448,low_confidence
../foodsg-233\Apple\TFAXFTRLJGGTE4MHZS91BWJB.jpg,Apple,all,pancake,0.260192,low_confidence
../foodsg-233\Apple\UC8Y1AMSPP4RC1F5OWB0H439.jpg,Apple,all,Apple,0.26633844,low_confidence
../foodsg-233\Apple\UH33Q7ZW6WNCKNZWB3675J8F.jpg,Apple,all,Apple,0.18167022,low_confidence
../foodsg-233\Apple\V3UU8G0GOR2WF84O86TAO6TX.jpg,Apple,all,Nuts,0.2653162,low_confidence
../foodsg-233\Apple\VDLRAIHE4H0DZPFV7H48S43F.jpg,Apple,all,Apple,0.26217246,low_confidence
../foodsg-233\Apple\VXPHZ0NP40ISEV1R7E5JOGEQ.jpg,Apple,all,Apricot,0.17907977,low_confidence
../foodsg-233\Apple\X1OSUAI74VPDPJVSB5VENDMW.jpg,Apple,all,mango pudding,0.109293476,low_confidence
../foodsg-233\Apple\XYYOUIWLCDAB2QRG9PDXU8FV.jpg,Apple,all,lychee,0.25989938,low_confidence
../foodsg-233\Apple\Y8JOD6BXB2CJB34AKXTKQH3X.jpg,Apple,all,Snacks and Chips,0.14638674,low_confidence
