path,label,split,outlier_score
../foodsg-233\Burger\HO76PXOQ27NWHLYUHPHJDTS4.jpg,Burger,all,-0.5760295993322704
../foodsg-233\kiwi\NCU2DZZGWVAO1D1T87W7SDXJ.jpg,kiwi,all,-0.5669663212578204
../foodsg-233\popcorn\QLL6FK0VQXR3DPX51XO6I09B.jpg,popcorn,all,-0.5663083359361548
../foodsg-233\kiwi\0FUTUJTLTHE8T9PGCUDH27V5.jpg,kiwi,all,-0.5647844976001909
../foodsg-233\pitaya\PRCUSWYITRFBC624L2X6UNVU.jpg,pitaya,all,-0.5614424165182589
../foodsg-233\rock melon\GRC3S1VVQUCM0D0WU85N5DAH.jpg,rock melon,all,-0.5607206511958626
../foodsg-233\kiwi\636K8SW46D77TQO7K99Y81TO.jpg,kiwi,all,-0.5596161281558384
../foodsg-233\kiwi\6CD0Q6RXM5QXLR49X5ZJ8BK0.jpg,kiwi,all,-0.5584378068215192
../foodsg-233\rambutan\NIZZ2BSOOB75QM2NRUWDIPIB.jpg,rambutan,all,-0.5579953523493797
../foodsg-233\kiwi\GWLBZ54CH26D13FKMJKA32FT.jpg,kiwi,all,-0.5555363159088043
../foodsg-233\rambutan\FZMYBA3WP5Z0MCV6ZE4VFBMH.jpg,rambutan,all,-0.5554733994488343
../foodsg-233\satay\6AI8U7JPVONFO3BZC50T5RHN.jpg,satay,all,-0.5552869586591788
../foodsg-233\Starfruit\ZMRUMKZXWEL1B9YPHLQ0PQNK.jpg,Starfruit,all,-0.554012539962217
../foodsg-233\Burger\JB26FQDVBSK9IWNLB5NLMVW9.jpg,Burger,all,-0.5535660365141534
../foodsg-233\rambutan\MYWT538F1K3K6D5H626RB5YR.jpg,rambutan,all,-0.5529828856068687
../foodsg-233\Burger\CGGA1E0G16RNCQ4CGDCUFUCF.jpg,Burger,all,-0.5528458901217116
../foodsg-233\kiwi\SKU9NNRYGRD3YIQS9WEN2FYO.jpg,kiwi,all,-0.5526217420201065
../foodsg-233\rock melon\T11CM2SHBIPX9BO9EWAPKL0B.jpg,rock melon,all,-0.5525527500327508
../foodsg-233\kiwi\PDD4CJOZAG1X1RES1FL8KCBI.jpg,kiwi,all,-0.5524374608509238
../foodsg-233\Starfruit\M42CKNJ69N1A71F799PCDDEK.jpg,Starfruit,all,-0.5516829907853454
../foodsg-233\Papaya\VZ4VM1A0VLGT6CE84R4W3CF7.jpg,Papaya,all,-0.5506998475390004
../foodsg-233\banana\UV1RCF8IE0AEDF7E207ZCXV0.jpg,banana,all,-0.550588441468259
../foodsg-233\popcorn\4CBDAWKC9JTTS9N2L4VV6B44.jpg,popcorn,all,-0.5505208698895204
../foodsg-233\mangosteen\I5813QHMDII0MPB3LG8LA09K.jpg,mangosteen,all,-0.5499584343894551
../foodsg-233\rock melon\5BX9TF3UOU16W29TNJHVX7DG.jpg,rock melon,all,-0.5498835590530877
../foodsg-233\pizza\VQ7Z4A93LG4NKS3VYWQYAKTE.jpg,pizza,all,-0.5496688369413221
../foodsg-233\Starfruit\EQ9JQWKE90Z345ETHXNWI7DH.jpg,Starfruit,all,-0.5486271095475195
../foodsg-233\kiwi\V4Q0N9PWKID6GTGV65C9IKLO.jpg,kiwi,all,-0.5484852384381645
../foodsg-233\rock melon\T6GEWJ0K7OI89D7SI4CDLXXD.jpg,rock melon,all,-0.5478141561795203
../foodsg-233\rock melon\B3AQEQXUNW3D1AMWAA69ELSX.jpg,rock melon,all,-0.5477505816959676
../foodsg-233\Blackberry\YTZD5LB536R6I30O6MO3KPHR.jpg,Blackberry,all,-0.5475987548419619
../foodsg-233\Burger\RN58FZSOR1WU5MFM3Q5W6XG7.jpg,Burger,all,-0.5474929988434425
../foodsg-233\Grape\EDRC51K8KJ7CKVMT21FCQFGJ.jpg,Grape,all,-0.5471533134016856
../foodsg-233\Burger\HCDSCMK5Y30QL35K83KJF0TW.jpg,Burger,all,-0.5471050062052207
../foodsg-233\pasta - fettuccine\JIEKTOSG18NUBVW6TD956EC6.jpg,pasta - fettuccine,all,-0.5468950292296987
../foodsg-233\Burger\9JQGQKK100LSLT99FIDHH73Y.jpg,Burger,all,-0.5467930721587596
../foodsg-233\Persimmon\1LWNEN7YHZ8DT9600F3N60G1.jpg,Persimmon,all,-0.5465618293456908
../foodsg-233\Kway Teow\PWFRIIFFGMXVMJOZ4BSY446J.jpg,Kway Teow,all,-0.5464242979941906
../foodsg-233\rambutan\AKFX8P2F0HIVEIK3487Z71XL.jpg,rambutan,all,-0.5460882261637966
../foodsg-233\chai tow kuay\QWXNSM8WGJ6E7AP9FVTJRT9M.jpg,chai tow kuay,all,-0.5460860748575134
../foodsg-233\rambutan\CUFWPYEVONNC73ZL6SUT76RL.jpg,rambutan,all,-0.5460416909846673
../foodsg-233\rock melon\70KRU5IUKN0VQPXMPEE5HNKQ.jpg,rock melon,all,-0.5459465467466456
../foodsg-233\kiwi\O45O9Q8BKD8ZHXAYS3LEWY4W.jpg,kiwi,all,-0.5453951891005598
../foodsg-233\chicken masala\T3J8L90RVWNJTPX77EUT52S0.jpg,chicken masala,all,-0.5453747094410503
