path,label,split,reason,hash
../../foodsg-233_cleaned/cake/RDX9TAAC7NX5RTZN50BMMIO2.jpg,cake,all,exact_duplicate,08646736e1f7103b954b6927c121b995
../../foodsg-233_cleaned/Laksa/BBF6LNQVJ25PZRE1Q5FTILC1.jpg,Laksa,all,exact_duplicate,13bdd82bcfbf613a7c4269c70e0366a0
../../foodsg-233_cleaned/cake/N5V7NIDE5HPWEKS2QP87CMJT.jpg,cake,all,exact_duplicate,19f52474ac54cbf7d8293c85897fd492
../../foodsg-233_cleaned/sliced fish soup/QEQNQ10T3HXCJ9L9QI6D0DH9.jpg,sliced fish soup,all,exact_duplicate,1a9608f1a410fb616e7b72324aabcb63
../../foodsg-233_cleaned/fried fish/LFIKSMU9US8K3S76EF8KO0AT.jpg,fried fish,all,exact_duplicate,33d3fa449a718a7c0b5611029424ba7d
../../foodsg-233_cleaned/bee hoon/9ADKREW56YK3G0WZVTAVX74V.jpg,bee hoon,all,exact_duplicate,73bdfe83d01cd88bbd2a1bfa50ba742a
"../../foodsg-233_cleaned/Bee hoon, goreng/3DF6JXT8TNIOTAZ7617B3IAS.jpg","Bee hoon, goreng",all,exact_duplicate,7ea7aa5f5ef836e1ba21ede761e1c4fd
../../foodsg-233_cleaned/fried fish/EHNKE45BUJBNC6J0CGYHJQ28.jpg,fried fish,all,exact_duplicate,8431ad7b6a747d4f1e1da28a9c80a97e
"../../foodsg-233_cleaned/Bee hoon, goreng/G2XAI1EZQFI1PHBLQTM6RH9R.jpg","Bee hoon, goreng",all,exact_duplicate,93065809d3ff92d144eb974074d17073
"../../foodsg-233_cleaned/Bee hoon, goreng/G5Z0T87B7J2VVBLIICUBHFL6.jpg","Bee hoon, goreng",all,exact_duplicate,9a4bc67ea9edc1fb1c152a388ad47dcc
../../foodsg-233_cleaned/Mee goreng/LBQW08EKW7UQAS4ZJQ2Y2O0G.jpg,Mee goreng,all,exact_duplicate,a77e1ee55a0ec7722bf3b569f944e779
../../foodsg-233_cleaned/pasta - red sauce/LI5J3MBZX1C69GRAHSU0QFL9.jpg,pasta - red sauce,all,exact_duplicate,ae5a03032f42c0fcee87c9d1dd65d3b3
../../foodsg-233_cleaned/cake/EV3KFCX9H41EJYG9V1VM83V6.jpg,cake,all,exact_duplicate,b51d00f0a9d660f80085563e328f83df
../../foodsg-233_cleaned/siew mai/3KHD7TEB2Q4M10V4LGO5Y2KH.jpg,siew mai,all,exact_duplicate,d484ef6f9ec37a838f6e3794e01de910
../../foodsg-233_cleaned/dumpling/RQWZK34JAG2XJZE0CLVNDXQQ.jpg,dumpling,all,exact_duplicate,fd3c3bc356eb6306b3c6d6f41a75d09a
../../foodsg-233_cleaned/bee hoon/5V2SCBLKDHK3Z11DO1IK3VXX.jpg,bee hoon,all,exact_duplicate,422c0f8d599623c80bc6eadb89c8b1b7
"../../foodsg-233_cleaned/Mee siam, fried/RYCOCIXH15DKZWG2VK0MLVSS.jpg","Mee siam, fried",all,exact_duplicate,422c0f8d599623c80bc6eadb89c8b1b7
../../foodsg-233_cleaned/Seafood Noodles Soup/LOUTWRA86TK83OU6PWQ7G4R2.jpg,Seafood Noodles Soup,all,exact_duplicate,422c0f8d599623c80bc6eadb89c8b1b7
"../../foodsg-233_cleaned/Bee hoon, soto/XAHMJJ4O2HJ8HZ34XFVPUARB.jpg","Bee hoon, soto",all,exact_duplicate,422c0f8d599623c80bc6eadb89c8b1b7
"../../foodsg-233_cleaned/Mee siam, fried/FHHBFGS8ISBBK7EMIJIOK3CI.jpg","Mee siam, fried",all,exact_duplicate,2031fb8c85f8f5e894308e3e37e9be23
"../../foodsg-233_cleaned/Bee hoon, goreng/18A2YL9O16J5JG12HK8UENXT.jpg","Bee hoon, goreng",all,exact_duplicate,2031fb8c85f8f5e894308e3e37e9be23
../../foodsg-233_cleaned/Nasi pattaya/L2H12P97OQWQR9TW8ZNQ0RW8.jpg,Nasi pattaya,all,exact_duplicate,2031fb8c85f8f5e894308e3e37e9be23
"../../foodsg-233_cleaned/Bee hoon, goreng/ENZRZXHBDR569682MRLQBWHV.jpg","Bee hoon, goreng",all,exact_duplicate,2e966913ca4a24ea50fd4f6d04c9e605
../../foodsg-233_cleaned/Mee siam/KL8E2F1MYINDDOADOC2DVNRZ.jpg,Mee siam,all,exact_duplicate,2e966913ca4a24ea50fd4f6d04c9e605
"../../foodsg-233_cleaned/Mee siam, fried/GKA2S3XKYQ05IHSOL2OGBTFE.jpg","Mee siam, fried",all,exact_duplicate,2e966913ca4a24ea50fd4f6d04c9e605
"../../foodsg-233_cleaned/Bee hoon, goreng/C3KGISAI9TC9KOY8OJA67QZ2.jpg","Bee hoon, goreng",all,exact_duplicate,798005a385531877a52dbca160af7073
../../foodsg-233_cleaned/Fried Noodles/F16QFN888XOR594UZLB7UZYY.jpg,Fried Noodles,all,exact_duplicate,798005a385531877a52dbca160af7073
../../foodsg-233_cleaned/Mee siam/8SWZWW0JHTBRVNBFOWSXSZPZ.jpg,Mee siam,all,exact_duplicate,798005a385531877a52dbca160af7073
"../../foodsg-233_cleaned/Bee hoon, goreng/MR2SRJ1X0IUIL14VVDS02RV7.jpg","Bee hoon, goreng",all,exact_duplicate,7a7a6eecea5d387f0d4e91533c7d370a
../../foodsg-233_cleaned/Fried Noodles/UYV2C00EK8GXFXWIKZJ91Z57.jpg,Fried Noodles,all,exact_duplicate,7a7a6eecea5d387f0d4e91533c7d370a
../../foodsg-233_cleaned/bee hoon/ZG5ZQ1QG07ZBE2H1WJW50S3P.jpg,bee hoon,all,exact_duplicate,7a7a6eecea5d387f0d4e91533c7d370a
"../../foodsg-233_cleaned/Wanton mee, dry/HMINFHYAIH2N5YKWM4OBDFLH.jpg","Wanton mee, dry",all,exact_duplicate,8ec2800dab0b48bb53e39bff8e1b2e36
../../foodsg-233_cleaned/Mee siam/9HR4VTGV0D9O87FIHZ9PULVO.jpg,Mee siam,all,exact_duplicate,8ec2800dab0b48bb53e39bff8e1b2e36
../../foodsg-233_cleaned/Kway Teow/H26V8ZWYHO9GDDI0WL9CF5F1.jpg,Kway Teow,all,exact_duplicate,8ec2800dab0b48bb53e39bff8e1b2e36
"../../foodsg-233_cleaned/Bee hoon, goreng/1DSXPYCTY84MIH0EDUUSCRBD.jpg","Bee hoon, goreng",all,exact_duplicate,96df7d1f7d9a6a53625b9b8fff1e0907
"../../foodsg-233_cleaned/Bee hoon, soto/QJVON8XM22A5XRNRDN9RRZWL.jpg","Bee hoon, soto",all,exact_duplicate,96df7d1f7d9a6a53625b9b8fff1e0907
../../foodsg-233_cleaned/bee hoon/KWR6KXCTJ2ADLSWOHPN04FO0.jpg,bee hoon,all,exact_duplicate,96df7d1f7d9a6a53625b9b8fff1e0907
../../foodsg-233_cleaned/Mee kuah/JEFGGOWHI1MM7CI65PQTV4HZ.jpg,Mee kuah,all,exact_duplicate,9beaf59358f9ab118b6065d8d72cb6a9
../../foodsg-233_cleaned/Lontong with sayur lodeh/POJG7MJEM70Y3IAPB0ANLBXI.jpg,Lontong with sayur lodeh,all,exact_duplicate,9beaf59358f9ab118b6065d8d72cb6a9
../../foodsg-233_cleaned/Mee bandung/IJKQT4HHSEYZLW2F532BM545.jpg,Mee bandung,all,exact_duplicate,9beaf59358f9ab118b6065d8d72cb6a9
../../foodsg-233_cleaned/Fried Noodles/HUXOSDBIV8SQ7ZZZO7EACZ77.jpg,Fried Noodles,all,exact_duplicate,c2d3e188d7dff052dd734a399997fd7e
"../../foodsg-233_cleaned/Bee hoon, soto/TFA3A20OKPJY33FHI63WC6O4.jpg","Bee hoon, soto",all,exact_duplicate,c2d3e188d7dff052dd734a399997fd7e
../../foodsg-233_cleaned/bee hoon/7KG0IKKRPVX1AVQ2MZOOVPFN.jpg,bee hoon,all,exact_duplicate,c2d3e188d7dff052dd734a399997fd7e
../../foodsg-233_cleaned/Mee rebus/2SXA7A4W17U51SVVHA18RADK.jpg,Mee rebus,all,exact_duplicate,df678fadd74f45e6302c6fda3fb91b80
"../../foodsg-233_cleaned/Bee hoon, soto/UI99VYPQI44X422S53I7IIT8.jpg","Bee hoon, soto",all,exact_duplicate,df678fadd74f45e6302c6fda3fb91b80
../../foodsg-233_cleaned/Mee soto/XT5XL8TGBBDUSNYFWZ5XK60C.jpg,Mee soto,all,exact_duplicate,df678fadd74f45e6302c6fda3fb91b80
"../../foodsg-233_cleaned/Bee hoon, goreng/AQFGENDDD4IS7GW58R4ZAQYM.jpg","Bee hoon, goreng",all,exact_duplicate,0514d5ec6fbef606d355bfdd623a00da
