path,label,split,reason,hash
../../foodsg-233_cleaned/spring rolls/VL03W06W3ANUKPXW4YBILIFO.jpg,spring rolls,all,near_duplicate,816d3eb2f2c9813e
../../foodsg-233_cleaned/spring rolls/6UA5B079Y1QXTRDPB16HJQBJ.jpg,spring rolls,all,near_duplicate,816d3eb2f2c9813e
../../foodsg-233_cleaned/spring rolls/X1FR3Y28931FIH0KT3CJCFMK.jpg,spring rolls,all,near_duplicate,816d3eb2f2c9813e
../../foodsg-233_cleaned/longan/7GFKMHGHCAVZ4291A0P8EFPF.jpg,longan,all,near_duplicate,bae29483c797d03c
../../foodsg-233_cleaned/longan/IQ6M56M5HVZK38G0WI039TDI.jpg,longan,all,near_duplicate,bae29483c797d03c
../../foodsg-233_cleaned/longan/D195MFZT8YV74ZFDBX1QMMZN.jpg,longan,all,near_duplicate,bae29483c797d03c
../../foodsg-233_cleaned/sambal stingray/ED34PXG96E8HYX70C3HTDH9Z.jpg,sambal stingray,all,near_duplicate,ee67d2b494c3c20d
../../foodsg-233_cleaned/sambal stingray/58540NU78JMFZGPLI5KD8LD2.jpg,sambal stingray,all,near_duplicate,ee67d2b494c3c20d
../../foodsg-233_cleaned/sambal stingray/5CUJYAOBQ06GIKP0USX6OG1T.jpg,sambal stingray,all,near_duplicate,ee67d2b494c3c20d
"../../foodsg-233_cleaned/Bee hoon, soto/4QYBPFDQS69I2SXC2TXCRC9H.jpg","Bee hoon, soto",all,near_duplicate,805d3de0b2977c1e
"../../foodsg-233_cleaned/Bee hoon, soto/4JPYEI4LSV04UYSSB8J6DGXK.jpg","Bee hoon, soto",all,near_duplicate,805d3de0b2977c1e
../../foodsg-233_cleaned/rock melon/6LH01RLR07MVXKEUDKERCS8Q.jpg,rock melon,all,near_duplicate,80e57a604d5f87ba
../../foodsg-233_cleaned/rock melon/RTSAOLHSTSNC0QJJZGMMTT2J.jpg,rock melon,all,near_duplicate,80e57a604d5f87ba
../../foodsg-233_cleaned/Kueh Salat/LKPAL1AS72NNVPDI7T3HWL3U.jpg,Kueh Salat,all,near_duplicate,89f65d47682a1b4e
../../foodsg-233_cleaned/Kueh Salat/QF54OVFDXAT4493XEE5NP8T6.jpg,Kueh Salat,all,near_duplicate,89f65d47682a1b4e
../../foodsg-233_cleaned/Mee siam/UQ31F7P9622XNLRLXW9PMOGK.jpg,Mee siam,all,near_duplicate,99e3e619192ee03b
../../foodsg-233_cleaned/Mee siam/VNDMK12NGNVKLSUWVU0FMUMW.jpg,Mee siam,all,near_duplicate,99e3e619192ee03b
../../foodsg-233_cleaned/rock melon/DBDWYU21OPHS731OM9DNBUN8.jpg,rock melon,all,near_duplicate,9c1ebbc94ba77440
../../foodsg-233_cleaned/rock melon/QZB6Q8T2CLI5SR4QSEAXR7OK.jpg,rock melon,all,near_duplicate,9c1ebbc94ba77440
../../foodsg-233_cleaned/sambal stingray/4184RM09PJROTWL7XPX89729.jpg,sambal stingray,all,near_duplicate,a88597ce90782f37
../../foodsg-233_cleaned/sambal stingray/TLGXI4NVGSWRL6ALMTSLOWT4.jpg,sambal stingray,all,near_duplicate,a88597ce90782f37
../../foodsg-233_cleaned/hotplate tofu/DCV1GIB168V9K7W41QSLHNYQ.jpg,hotplate tofu,all,near_duplicate,aae292b28dc8f731
../../foodsg-233_cleaned/hotplate tofu/4A2P6QVAN2YI0TZE5WRE77MF.jpg,hotplate tofu,all,near_duplicate,aae292b28dc8f731
../../foodsg-233_cleaned/Grapefruit/0XB2SZIQLHCVMTK6LA9KBZA0.jpg,Grapefruit,all,near_duplicate,ac2294f37b9781e4
../../foodsg-233_cleaned/Grapefruit/V3X09GXTKIQVKFUNF8EJ9876.jpg,Grapefruit,all,near_duplicate,ac2294f37b9781e4
../../foodsg-233_cleaned/lychee/KROLQ8JOF1XVNOQ8OAV2I753.jpg,lychee,all,near_duplicate,af94d05ac56b9664
../../foodsg-233_cleaned/lychee/Y1R1B1JM6ZWSU4UHKVCH3AHX.jpg,lychee,all,near_duplicate,af94d05ac56b9664
../../foodsg-233_cleaned/Mee rebus/VF0QTMN5P02HIL8TF80PKB12.jpg,Mee rebus,all,near_duplicate,b07d85f01d697a62
../../foodsg-233_cleaned/Mee rebus/P36KXGIVS8TIAIDSTCLUYU61.jpg,Mee rebus,all,near_duplicate,b07d85f01d697a62
../../foodsg-233_cleaned/chicken rice/JITTT1BNWLL6MQXDTFO1CRA2.jpg,chicken rice,all,near_duplicate,b438dbd6e641898d
../../foodsg-233_cleaned/chicken rice/NCBVDGXIUZB2X8RWG06V89SG.jpg,chicken rice,all,near_duplicate,b438dbd6e641898d
../../foodsg-233_cleaned/Kopi Teh Milo/X9CJEFTFQI8KED3XF7XUS0YB.jpg,Kopi Teh Milo,all,near_duplicate,b4cb0770782cc3e7
../../foodsg-233_cleaned/Kopi Teh Milo/ORMWI8QI5HH34FP2B50SJ2CT.jpg,Kopi Teh Milo,all,near_duplicate,b4cb0770782cc3e7
../../foodsg-233_cleaned/rock melon/4L8YO39KUJI9DTP9INDOQ88A.jpg,rock melon,all,near_duplicate,bb95c958856d9463
../../foodsg-233_cleaned/rock melon/0RZ1N3DRVELSJR8ZWFZEE1CB.jpg,rock melon,all,near_duplicate,bb95c958856d9463
../../foodsg-233_cleaned/drunken prawn/5DI50XE060B4DPZRRE101PHD.jpg,drunken prawn,all,near_duplicate,bc8ef7b8c065ca90
../../foodsg-233_cleaned/drunken prawn/MLKEFQJ08U2KXAEULL4ULZ00.jpg,drunken prawn,all,near_duplicate,bc8ef7b8c065ca90
../../foodsg-233_cleaned/siew mai/HG9SZF62J79PN1YBICHL1ZDZ.jpg,siew mai,all,near_duplicate,bdc1969292cdcc6c
../../foodsg-233_cleaned/siew mai/EURK9VH1HST8MHOLQXTBP9L4.jpg,siew mai,all,near_duplicate,bdc1969292cdcc6c
../../foodsg-233_cleaned/sirloin steak/1BKX8CAMGG8XI0LOMLUC15KS.jpg,sirloin steak,all,near_duplicate,bed0c12f2cf03399
../../foodsg-233_cleaned/sirloin steak/O7Z72Q0KR8ZRZA9F062W2LOI.jpg,sirloin steak,all,near_duplicate,bed0c12f2cf03399
